objectid,name,address,county,telephone,email,website,naics_code,infra_type,feedstock
26,"Allied Ecovery, Inc.","465 Clary Connector, Toccoa, GA, United States", , , , ,562920,Electronics Recycler,Electronics
32,American Cellular Technology,"2875 N Berkeley Lake Rd Unit 18, Duluth, GA, United States", , , , ,562920,Electronics Recycler,Electronics
33,"American Ecycle, Inc.","1150 Turner Rd, Eastanollee, GA, United States", , , , ,562920,Electronics Recycler,Electronics
41,Apto Solutions,"1910 MacArthur Blvd., Atlanta, GA, 30318", ,(855) 275-2786,info@AptoSolutions.com,http://www.aptosolutions.com/,562920,Electronics Recycler,Electronics
50,Asset Cellutions – CT Cellutions – Cell Phones for Soldiers,"5705 Commerce Blvd., Alpharetta, GA, United States", , , ,www.cellphonesforsoldiers.com,562920,Electronics Recycler,Electronics
54,"Asset Recycling & Recovery, LLCX","396 Cross Plains Blvd,, Dalton, GA, United States", , , ,https://ailsold.com/,562920,Electronics Recycler,Electronics
58,"Atlanta Recycling Solutions,LLC","1280 Old Alpharetta Road, Alpharetta, GA, United States", , , ,www.atlantarecyclingsolutions.com,562920,Electronics Recycler,Electronics
76,"Battery Recycling Made Easy, LLC","420 S. River Street, Calhoun, GA, United States", , , ,www.batteryrecyclingmadeeasy.com,562920,Electronics Recycler,Electronics
84,"Beintek, LLC, a subsidiary of Invictus Globe, LLC","2150 Northmont Parkway, STE P, Duluth, GA, United States", , , ,www.invictusglobe.com,562920,Electronics Recycler,Electronics
87,Bionew USA Corp.,"4544 Atwater Ct. Ste 110, Buford, GA, United States", , , ,bionewusa.co,562920,Electronics Recycler,Electronics
105,"Call2Recycle, Inc.","1000 Parkwood Circle, Suite 200, Atlanta, GA, United States", , , , ,562920,Electronics Recycler,Electronics
129,CentricsIT LLC,"2200 Norcross Parkway, Suite 280-B, Norcross, GA, United States", , , ,www.centricsit.com,562920,Electronics Recycler,Electronics
160,"Communications Test Design, Inc","2000 Buford Mill Drive, Suite 100, Buford, GA, United States", , , , ,562920,Electronics Recycler,Electronics
170,CompuPoint USA LLC,"111 Fredrix Alley, Lawrenceville, GA, United States", , , ,www.compupointusa.com,562920,Electronics Recycler,Electronics
173,"Computer Recyclers USA, LLC","2527 Commerce Place, Tucker, GA, United States", , , , ,562920,Electronics Recycler,Electronics
183,CXtec Inc. DBA Atlantix Global Systems,"4388 Schackleford Rd., Norcross, GA, United States", , , , ,562920,Electronics Recycler,Electronics
190,Devin Tech Inc,"1059 Triad CT, Suite 11, Marietta, GA, United States", , , ,devintechinc.com,562920,Electronics Recycler,Electronics
261,"EPC, Inc.","1100 Westlake Parkway Southwest #175, Atlanta, GA, 30336", ,(800) 235-1046,info@epcusa.com,http://www.epcusa.com/,562920,Electronics Recycler,Electronics
270,E-Recycle USA,"4545 Granite Drive, Tucker, GA, United States", , , ,erecycleusa.com,562920,Electronics Recycler,Electronics
325,Fusion Green Technology Inc,"2875 N Berkeley Lake Rd NW Suite 12, Duluth, GA, United States", , , , ,562920,Electronics Recycler,Electronics
336,Georgia Computer Inc.,"1455 Ventura Drive, Cumming, GA, United States", , , ,www.georgiacomputer.com,562920,Electronics Recycler,Electronics
343,"Global Technology Services Group, Inc.","2850 Barrett Lakes Blvd. NW, Suite 500, Kennesaw, GA, United States", , , ,www.gtservices.net,562920,Electronics Recycler,Electronics
407,ITAD Technologies LLC,"5060 Avalon Ridge Parkway, Suite 1000, Peachtree Corners, GA, United States", , , ,www.itadtech.com,562920,Electronics Recycler,Electronics
456,Majestic Global Corporation,"4200 Steve Reynolds Blvd, Suite# 12, 14, Norcross, GA, United States", , , ,www.majestic-corp.com,562920,Electronics Recycler,Electronics
458,"Management Data Systems International, Inc. (MDSI)","6225 Shiloh Rd, Alpharetta, GA, United States", , , ,www.mdsiinc.com/,562920,Electronics Recycler,Electronics
502,North Georgia Telecom Inc,"4200 Steve Reynolds Blvd  Ste 14, Norcross, GA, United States", , , ,www.ngtinc.com,562920,Electronics Recycler,Electronics
505,"Novus Solutions, LLC","925 Industrial Park Drive, Marietta, GA, United States", , , ,www.novussolutionsllc.com,562920,Electronics Recycler,Electronics
534,Phobio LLC,"2125 Barrett Park Drive, Suite104, Kennesaw, GA, United States", , , ,phobio.com,562920,Electronics Recycler,Electronics
548,"Premier Surplus, Inc.","12 Asset Recycling Way, Dawsonville, GA, United States", , , ,premiersurplus.com,562920,Electronics Recycler,Electronics
591,"RSR Partners, LLC dba Regency Technologies","2989 Humphries Hill Road, Austell, GA, United States", , , ,www.regencytechnologies.com,562920,Electronics Recycler,Electronics
677,TES USA Inc.,"5238 Royal Woods Parkway - Suite 110, Tucker, GA, United States", , , ,www.tes-amm.com,562920,Electronics Recycler,Electronics
684,The Alchemist Tech & Electronics,"4042 Enterprise Way Suite 120, Flowery Branch, GA, United States", , , , ,562920,Electronics Recycler,Electronics
691,"Tom Seabrook Company Inc. dba TSC, Inc.","670-B Enterprise Drive, Auburn, GA, United States", , , ,tsc-inc.net,562920,Electronics Recycler,Electronics
704,"Two Rivers Recovery, LLC dba Two Rivers ITAD Solutions","6700 Tribble Street, Lithonia, GA, United States", , , ,http://www.tworiversrecovery.com/,562920,Electronics Recycler,Electronics
744,ViaTek Solutions,"770 Tipton Industrial Drive, Lawrenceville, GA, United States", , , ,http://www.viateksolutions.com/,562920,Electronics Recycler,Electronics
753,Westend Enterprises Inc. DBA Wei Mobile,"212 Swanson Dr, Lawrenceville, GA, United States", , , ,www.wei-mobile.com,562920,Electronics Recycler,Electronics
768,"XS International, Inc.","1005 Alderman Drive, Suite 212 & 213, Alpharetta, GA, United States", , , ,www.xsnet.com,562920,Electronics Recycler,Electronics
