objectid,name,address,county,telephone,email,website,naics_code,infra_type,feedstock
7,Advanced Disposal LLC,"300 Colonial Center Pkwy # 2, Roswell, GA, 300764899",Fulton,(678) 341-7144, , ,562920,MRF, 
22,American Recycling of GA,"4785 Fulton Industrial Blvd SW, Atlanta, GA, 30336", , , , ,562920,MRF, 
29,Athens Recycling Information,"699 Hancock Indus Way, Athens, GA, 306051903",Clarke,(706) 548-9808, ,www.athensclarkecounty.com,562920,MRF, 
33,"Attaway Recycling, LLC","150 Dundee Dr, Milledgeville, GA, 310617865",Baldwin,(478) 414-1675, ,www.attawayrecycling.com,562920,MRF, 
74,Clarke Co - Athens Dunlap Road MRF,"5700 Lexington Road, Winterville, GA, 30683", , , , ,562920,MRF, 
76,Columbus Recycling & Sustainability Center,"8001 Pine Grove Way, Columbus, GA, 31907", , , , ,562920,MRF, 
97,Dalton-Whitfield Solid Waste Authority Materials Recovery Facility,"4305 Old Dixie Hwy SE, Dalton, GA, 30721", , , , ,562920,MRF, 
225,Plant Atkinson Transfer Station MRF,"207 Plant Atkinson Road, Smyrna, GA, 30080", , , , ,562920,MRF, 
230,Pratt Industries,"101 Kahn Industrial Ct ste c, Savannah, GA, 31405", , , , ,562920,MRF, 
235,"Pratt Recycling, Inc.","1800 Sarasot Bus Pkwy Ne C, Conyers, GA, 300135775",Rockdale,(678) 904-4165, ,www.prattindustries.com,562920,MRF, 
304,Rome/Floyd Recycling Center,"412 Lavender Dr NW, Rome, GA, 301652262",Floyd,(706) 291-5266, ,www.romefloyd.com,562920,MRF, 
373,Waste Management Gateway MRF,"1625 Westgate Pkwy, SW, Atlanta, GA, 30336", , , , ,562920,MRF, 
395,Welcome All Transfer Station LLC,"5225 Welcome All Rd SW, College Park, GA, 303492553",Fulton,(404) 761-9464, , ,562920,MRF, 
401,WestRock,"1775 County Services Pkwy, Marietta, GA, 30008", , , , ,562920,MRF, 
402,WestRock,"384 Maltbie St, Lawrenceville, GA, 30046", , , , ,562920,MRF, 
405,WestRock Recycling,"3434 Montreal Indus Way, Tucker, GA, 300845210",DeKalb,(770) 939-1775, , ,562920,MRF, 
