objectid,name,address,county,telephone,email,website,naics_code,infra_type,feedstock
7,"Advance Drum Service, Inc.","1835 Dickerson Drive, Mableton, GA, 30126", ,(404) 699-7048,joe@advancedrum.com,http://www.advancedrum.com/,562920,Plastic Recycling Facility,Plastic
44,"Cycle Tex, Inc.","702 S. Thornton Ave., Dalton, GA, 30720", ,(706) 226-1116, ,http://www.cycletex.com/,562920,Plastic Recycling Facility,Plastic
65,"Felplast USA, Inc.","2418 Cleveland Hwy, Dalton, GA, 30720", ,(706) 278-0200,andrea@felplastusa.com,http://felplastusa.com/,562920,Plastic Recycling Facility,Plastic
80,IMACC Corporation,"2303 Dalton Industrial Court, Dalton, GA, 30721", ,(706) 270-8635,bcutt@imacc-corp.com,http://www.imacccorp.com/,562920,Plastic Recycling Facility,Plastic
92,JW Industrial Polymers LLC,"102 Conners Rd., Villa Rica, GA, 30180", ,(925) 876-6137,snow@polymersjw.com,https://www.polymersjw.com/,562920,Plastic Recycling Facility,Plastic
97,Manassas Polymers,"161 Executive Dr., Calhoun, GA, 30701", ,(706) 602-5112,info@manassaspolymers.com,http://www.manassaspolymers.com/,562920,Plastic Recycling Facility,Plastic
98,Marglen Industries,"1748 Ward Mountain Road, Rome, GA, 30161", ,(706) 295-5621, ,http://www.marglen.us/,562920,Plastic Recycling Facility,Plastic
107,MOHAWK INDUSTRIES INC.,"106 John Bankson Drive, Summerville, GA, 30747", ,(706) 624-2253, , ,562920,Plastic Recycling Facility,Plastic
186,TKO Polymers,"4215 Wendell Dr SW, Atlanta, GA, 30336", ,(404) 691-8567,info@tkopolymers.com,http://www.tkopolymers.com/,562920,Plastic Recycling Facility,Plastic
195,US Plastic Recovery,"900 Raco Drive STE-B, Lawrenceville, GA, 30046", ,(770) 582-9616,service@usprecovery.com,http://www.usprecovery.com/,562920,Plastic Recycling Facility,Plastic
